Date,Time,Latitude,Longitude,Magnitude,Epicenter
2072-1-16,22:29,27.78,85.17,4,Nuwakot
2072-1-16,09:56,28.1,84.65,4.2,Gorkha
2072-1-16,08:57,27.89,85.76,4.2,Sindhupalchowk
2072-1-16,20:55,27.83,85.83,4,Sindhupalchowk
2072-1-16,08:44,27.92,85.51,4.2,Sindhupalchowk
2072-1-15,06:29,28.29,84.93,4.8,Gorkha
2072-1-15,17:53,27.96,85.55,4,Sindhupalchowk
2072-1-15,03:52,28.2,84.78,4,Gorkha
2072-1-15,15:44,28.24,85.23,4.3,Rasuwa
2072-1-15,03:21,27.67,85.29,4.5,Kathmandu
2072-1-15,14:03,27.67,85.55,4.2,Kavrepalanchowk
2072-1-15,12:09,27.77,85.12,4.7,Nuwakot
2072-1-15,10:12,27.82,85.76,4.4,Sindhupalchowk
2072-1-15,10:02,27.57,85.74,4.5,Kavrepalanchowk
2072-1-15,10:00,27.56,85.73,4.2,Kavrepalanchowk
2072-1-15,09:22,27.75,85.2,4.1,Kathmandu
2072-1-15,21:02,27.8,85.12,4,Nuwakot
2072-1-14,06:24,28.26,85.1,4.5,Rasuwa
2072-1-14,05:15,28.19,85.03,4,Dhading
2072-1-14,04:24,27.82,85.89,4.2,Sindhupalchowk
2072-1-14,15:50,27.93,85.86,4,Sindhupalchowk
2072-1-14,03:32,27.65,85.97,4,Dolakha
2072-1-14,14:51,27.64,85.63,5,Kavre
2072-1-14,14:40,27.8,85.16,5.1,Nuwakot
2072-1-14,14:28,28.32,84.73,4.5,Gorkha
2072-1-14,02:27,28.31,84.97,4.5,Gorkha
2072-1-14,02:14,27.72,85.97,4.5,Sindhupalchowk
2072-1-14,02:02,27.79,85.15,4,Nuwakot
2072-1-14,00:53,27.68,85.95,4,Dolakha
2072-1-14,00:41,27.89,85.6,5,Sindhupalchowk
2072-1-14,12:01,27.84,85.12,4,Nuwakot
2072-1-14,11:45,27.67,85.28,4,Kathmandu
2072-1-14,11:17,28.05,85.34,4,Rasuwa
2072-1-14,11:10,27.69,85.25,4,Kathmandu
2072-1-14,10:46,27.99,85.02,5.5,Nuwakot
2072-1-14,08:37,27.82,85.8,4.8,Sindhupalchowk
2072-1-14,08:34,27.98,84.99,4,Gorkha
2072-1-14,20:10,27.79,86,4.8,Sindhupalchowk
2072-1-14,08:02,27.6,85.96,4.8,Sindhupalchowk
2072-1-14,07:59,28.24,84.82,4.3,Gorkha
2072-1-14,07:53,28.25,85.83,4,Rasuwa
2072-1-14,07:41,27.93,85.56,4.4,Sindhupalchowk
2072-1-14,07:37,28.14,84.71,4.2,Gorkha
2072-1-14,07:34,28.05,85.35,4,Rasuwa
2072-1-14,07:14,27.93,85.56,4.1,Sindhupalchowk
2072-1-14,19:07,27.94,86.05,5,Tibet
2072-1-14,18:57,27.75,85.94,5.3,Sindhupalchowk
2072-1-13,21:12,27.77,85.91,4.5,Sindhupalchowk
2072-1-13,20:16,27.97,85.81,4.5,Sindhupalchowk
2072-1-13,18:39,27.84,86.05,6.9,Dolakha
2072-1-13,06:28,27.71,85.43,4.6,Kathmandu
2072-1-13,05:59,27.94,85.55,4.1,Sindhupalchowk
2072-1-13,05:36,27.91,85.55,4.2,Sindhupalchowk
2072-1-13,16:28,28.26,85.02,4.8,Gorkha
2072-1-13,04:27,27.83,86.06,4,Dolakha
2072-1-13,16:20,28.04,85.5,4.5,Sindhupalchowk
2072-1-13,03:55,27.95,85.87,5.3,Sindhupalchowk
2072-1-13,03:53,27.67,85.3,4,Kathmandu
2072-1-13,11:11,27.67,86.07,4.5,Dolakha
2072-1-13,21:53,27.87,85.8,4.1,Sindhupalchowk
2072-1-13,21:13,28.29,85.16,4.6,Rasuwa
2072-1-13,05:31,27.78,85.98,4.1,Sindhupalchowk
2072-1-13,05:25,28.1,85.27,4,Rasuwa
2072-1-13,05:12,28.34,85.91,5.6,Tibet
2072-1-13,05:10,27.78,85.17,4,Nuwakot
2072-1-13,05:09,27.9,85.53,4,Sindhupalchowk
2072-1-13,05:04,27.77,85.83,4.1,Sindhupalchowk
2072-1-13,04:16,27.8,85.29,4,Nuwakot
2072-1-13,03:57,27.92,85.64,5.3,Sindhupalchowk
2072-1-13,02:47,27.95,85.56,4.2,Sindhupalchowk
2072-1-13,02:21,28.14,85.16,4.4,Rasuwa
2072-1-13,02:10,27.73,85.9,5,Sindhupalchowk
2072-1-13,01:53,28.05,85.25,4.1,Rasuwa
2072-1-13,01:40,27.73,85.9,4.7,Sindhupalchowk
2072-1-13,01:32,27.68,85.32,4.1,Kathmandu
2072-1-12,19:38,27.79,85.16,4.1,Nuwakot
2072-1-12,19:15,28.1,85.2,4.7,Rasuwa
2072-1-12,18:29,28.16,84.71,5.5,Gorkha
2072-1-12,18:24,27.82,86.05,4.5,Dolakha
2072-1-12,18:02,28,85.4,4.9,Nuwakot
2072-1-12,17:26,28.14,85.28,4.1,Rasuwa
2072-1-12,16:50,27.91,85.5,4.6,Sindhupalchowk
2072-1-12,16:25,27.86,85.85,4,Sindhupalchowk
2072-1-12,16:08,27.87,85.8,4.1,Sindhupalchowk
2072-1-12,15:28,28.29,85.16,4.6,Rasuwa
2072-1-12,15:15,28,85.6,5.5,Sindhupalchowk
2072-1-12,14:48,27.91,85.33,5.3,Nuwakot
2072-1-12,14:40,27.65,85.63,5.7,Kabre
2072-1-12,14:14,28.18,84.95,5.2,Gorkha
2072-1-12,14:06,27.6,86.09,4.5,Dolakha
2072-1-12,14:05,27.9,84.86,5.1,Dhading
2072-1-12,14:02,27.78,85.84,5.2,Sindhupalchowk
2072-1-12,13:32,27.99,85.71,5.1,Tibet
2072-1-12,13:06,27.69,86.02,4.9,Dolakha
2072-1-12,12:53,28.2,85.75,5.3,Rasuwa
2072-1-12,12:41,28.13,85.65,5.7,Rasuwa
2072-1-12,12:30,28.28,84.72,6.6,Gorkha
2072-1-12,12:23,28.41,85.80,5.5,Tibet
2072-1-12,11:56,28.24,84.75,7.6,Gorkha
2072-1-10,07:42,28.4,83.99,4.1,Kaski
2072-1-9,12:59,28.8,81.92,4.5,Jajarkot
2072-1-9,01:37,28.85,82.18,5.1,Jajarkot
2071-11-3,04:36,27.42,87.01,4.5,Bhojpur
2071-10-18,01:29,28.29,83.73,5.5,Kaski
2071-10-8,15:12,29.36,81.03,4.4,Doti
2071-9-22,07:11,29.07,81.51,4.5,Dailekh
